time,open,high,low,close,"GOLD, TVC: Open","GOLD, TVC: High","GOLD, TVC: Low","GOLD, TVC: Close","JPYUSD, IDC: Open","JPYUSD, IDC: High","JPYUSD, IDC: Low","JPYUSD, IDC: Close","EURUSD, FXCM: Open","EURUSD, FXCM: High","EURUSD, FXCM: Low","EURUSD, FXCM: Close","GBPUSD, FXCM: Open","GBPUSD, FXCM: High","GBPUSD, FXCM: Low","GBPUSD, FXCM: Close","SPY, CBOE BZX: Open","SPY, CBOE BZX: High","SPY, CBOE BZX: Low","SPY, CBOE BZX: Close","AAPL, CBOE BZX: Open","AAPL, CBOE BZX: High","AAPL, CBOE BZX: Low","AAPL, CBOE BZX: Close","MSFT, CBOE BZX: Open","MSFT, CBOE BZX: High","MSFT, CBOE BZX: Low","MSFT, CBOE BZX: Close","GOOGL, CBOE BZX: Open","GOOGL, CBOE BZX: High","GOOGL, CBOE BZX: Low","GOOGL, CBOE BZX: Close","USB, CBOE BZX: Open","USB, CBOE BZX: High","USB, CBOE BZX: Low","USB, CBOE BZX: Close","TSLA, CBOE BZX: Open","TSLA, CBOE BZX: High","TSLA, CBOE BZX: Low","TSLA, CBOE BZX: Close","ADSK, CBOE BZX: Open","ADSK, CBOE BZX: High","ADSK, CBOE BZX: Low","ADSK, CBOE BZX: Close","NFLX, CBOE BZX: Open","NFLX, CBOE BZX: High","NFLX, CBOE BZX: Low","NFLX, CBOE BZX: Close","AMD, CBOE BZX: Open","AMD, CBOE BZX: High","AMD, CBOE BZX: Low","AMD, CBOE BZX: Close","AVGO, CBOE BZX: Open","AVGO, CBOE BZX: High","AVGO, CBOE BZX: Low","AVGO, CBOE BZX: Close","AMZN, CBOE BZX: Open","AMZN, CBOE BZX: High","AMZN, CBOE BZX: Low","AMZN, CBOE BZX: Close","SPGI, CBOE BZX: Open","SPGI, CBOE BZX: High","SPGI, CBOE BZX: Low","SPGI, CBOE BZX: Close","PYPL, CBOE BZX: Open","PYPL, CBOE BZX: High","PYPL, CBOE BZX: Low","PYPL, CBOE BZX: Close","PLATINUM, TVC: Open","PLATINUM, TVC: High","PLATINUM, TVC: Low","PLATINUM, TVC: Close","SILVER, TVC: Open","SILVER, TVC: High","SILVER, TVC: Low","SILVER, TVC: Close","SBUX, CBOE BZX: Open","SBUX, CBOE BZX: High","SBUX, CBOE BZX: Low","SBUX, CBOE BZX: Close","QCOM, CBOE BZX: Open","QCOM, CBOE BZX: High","QCOM, CBOE BZX: Low","QCOM, CBOE BZX: Close","FB, CBOE BZX: Open","FB, CBOE BZX: High","FB, CBOE BZX: Low","FB, CBOE BZX: Close","USB, CBOE BZX: Open","USB, CBOE BZX: High","USB, CBOE BZX: Low","USB, CBOE BZX: Close","CDR, GPW: Open","CDR, GPW: High","CDR, GPW: Low","CDR, GPW: Close","KGH, GPW: Open","KGH, GPW: High","KGH, GPW: Low","KGH, GPW: Close","PKN, GPW: Open","PKN, GPW: High","PKN, GPW: Low","PKN, GPW: Close",Volume,Volume MA
2021-08-01T22:00:00Z,0.25946,0.26191,0.25667,0.25667,1814.15,1831.72,1758.79,1762.6,0.009115,0.009197,0.009063,0.00907,1.18673,1.18997,1.17542,1.17587,1.39008,1.39578,1.38613,1.38652,440.34,442.94,436.1,442.49,146.36,148.045,145.18,146.14,286.36,289.63,283.74,289.46,2702.34,2729.45,2666.39,2714.77,55.87,57.495,54.3496,57,700,726.94,697.63,699.1,321.41,334.06,319.15,332.77,519,526.84,505.37,520.55,105.93,122.49,103.83,110.11,489.05,494.6,479.96,485.43,3353.1,3391,3299.77,3344.94,430.6,444.64,428.49,441.58,276.885,282.3699,269.57,279.54,1046.5,1069.037,980,980,25.45,26.002,24.201,24.31,122.0265,122.98,117.5201,119.05,150,152.28,144.5673,146.28,358.1,365.15,347.7,363.51,55.87,57.495,54.3496,57,183.48,183.48,172.66,174.12,195.75,199.89999,192.8,194.5,73.800003,74.919998,72.019997,74,0,0
2021-08-08T22:00:00Z,0.25664,0.25812,0.25548,0.25795,1762.62,1780.25,1681.95,1779.218,0.00907,0.009127,0.009026,0.009121,1.17587,1.18048,1.17059,1.17949,1.38694,1.38945,1.37906,1.38638,442.46,445.94,441.31,445.92,146.2,149.4444,145.3,149.1,289.75,292.9,285.2,292.85,2718.85,2757.13,2706.785,2754.55,56.9,59.17,56.41,58.22,710.17,729.9,699.4,717.17,333.175,335.67,325.35,332.78,521.1469,522.6699,507.2014,515.92,111.31,112.33,104.36,110.55,486.49,488.97,476.731,486.16,3343.61,3358,3269.67,3293.97,440.97,442.06,431.1,441.74,280.22,281.1,272.5,274.91,980,1033.733,967.034,1026.5,24.298,24.3618,22.3916,23.711,118.99,119.02,115.4,116.76,146.79,149.31,142.4,148.64,363.7623,365.775,357.11,363.18,56.9,59.17,56.41,58.22,175,175.24001,164.08,168.89999,194.5,195.64999,188.5,191.89999,73.879997,75.839996,72.800003,75,0,0
2021-08-15T22:00:00Z,0.25784,0.25819,0.25436,0.25498,1779.39,1795.58,1770.97,1780.66,0.009122,0.009164,0.009074,0.009107,1.17943,1.1801,1.16639,1.16995,1.38638,1.38783,1.36021,1.36202,444.53,447.11,436.12,443.36,148.535,151.68,144.5,148.19,293.19,305.84,288.64,304.36,2750.4979,2767.25,2685,2748.59,57.79,57.94,54.82,55.68,705.07,709.5,648.84,680.26,332.31,335.27,322.23,334.38,515.24,551.3883,512.3,546.88,110.2,111.58,101.975,104.65,484.83,488.9118,462.66,475.17,3283,3300,3175.76,3199.95,440.83,446.29,422.79,437.52,273.73,279.19,266.6033,272.96,1029,1031.524,965.974,996,23.711,23.954,22.881,23.013,116.6932,117.73,113.61,114.63,148.4,149.08,138.96,142.09,362.52,366.95,351,359.37,57.79,57.94,54.82,55.68,168.89999,171.53999,164.38,165.74001,189.89999,191.25,169,172.3,74.639999,75.599998,69.839996,71.419998,0,0
2021-08-22T22:00:00Z,0.25498,0.25756,0.25498,0.25742,1791.8,1819.27,1776.6,1816.52,0.009105,0.009139,0.00907,0.009103,1.16995,1.18023,1.1691,1.17958,1.36178,1.37807,1.36069,1.37572,445.16,450.65,443.4355,450.25,148.31,150.86,146.83,148.6,303.245,305.65,296.83,299.72,2759.39,2890.25,2752.15,2880.08,55.96,58.37,55.93,58.3,685.442,716.97,680.7505,711.92,336,344.39,308.025,315.64,545.98,564.17,543.74,558.92,105.295,111.78,104.86,111.4,476.33,496.4447,475.695,495.94,3211.9,3352.32,3210.005,3349.63,439.96,442.39,433.36,438.3,275.75,279.8296,273.02,278.33,998.5,1024.315,977,1012,23.013,24.114,22.982,23.989,114.71,115.99,113.86,115.12,142.6525,145.5925,141.62,144.85,359.44,373.74,359.1,372.63,55.96,58.37,55.93,58.3,166.16,170.89999,163.2,167.78,174.8,181,173.2,181,71.760002,74.480003,71.760002,73.559998,0,0
2021-08-29T22:00:00Z,0.25748,0.2635,0.25748,0.26317,1816.86,1834.01,1801.77,1826.1,0.009105,0.009123,0.009058,0.009114,1.17936,1.1909,1.17827,1.18782,1.3751,1.38916,1.37311,1.38459,450.97,454.05,450.71,453.08,149,154.98,148.61,154.3,301.115,305.19,300.18,301.14,2888,2925.075,2848.01,2874.79,58.22,58.43,55.81,56.15,714.715,741.99,712.73,733.57,316.94,318.72,284.5,288.75,557.25,598.7567,556.45,590.53,112.61,114.4899,108.5,109.92,500,507.85,490.16,497.68,3357.425,3527,3355.22,3478.05,440.43,454.16,438.001,452.08,279.61,292.65,279.08,289.13,1011,1030.454,994.669,1025.5,23.989,24.868,23.761,24.69,115.61,118.36,114.63,117.19,145.59,148.1,144.2301,144.63,372.56,384.33,370.52,376.26,58.22,58.43,55.81,56.15,167.88,192.96001,164.39999,187.02,182,183.39999,172.39999,176.8,73.559998,74.879997,72,74.360001,0,0
2021-09-05T22:00:00Z,0.26317,0.26361,0.25921,0.25921,1827.46,1830.36,1782.531,1787.52,0.009114,0.009121,0.009055,0.009097,1.18763,1.18864,1.1802,1.18084,1.3856,1.38884,1.37263,1.38242,452.71,452.81,445.31,445.44,154.97,157.26,148.7,148.97,301.005,302.14,295.38,295.71,2876.69,2894.37,2814.755,2817.52,56.28,56.945,55.11,55.45,740,764.45,734.5201,736.27,290.76,292.5,284.11,284.43,594.69,615.6,593.67,598.72,109.955,110.58,104.98,105.2,497.6,505.99,488.11,498.15,3478,3549.99,3462.9055,3469.15,451.77,456.63,443.04,450.24,290.41,296.7,283.33,284.32,1025.5,1030.654,955.5,955.5,24.679,24.822,23.734,23.737,117.09,120.76,115.47,119.34,144.675,146,141.45,142.68,375.88,383.79,373.15,378.69,56.28,56.945,55.11,55.45,187.34,189.2,176.60001,181.42,176.75,181.39999,173.25,180.39999,74.279999,75.800003,73.660004,74.540001,0,0
2021-09-12T22:00:00Z,0.25921,0.26001,0.25497,0.25497,1788.2,1808.74,1745.44,1753.4,0.009097,0.009164,0.009079,0.009089,1.18119,1.18458,1.17245,1.17249,1.38242,1.39131,1.37214,1.3729,448.64,448.92,441.02,441.4,150.63,151.42,145.76,146.06,297.55,305.32,294.08,299.87,2838.99,2889.01,2809.395,2816,55.94,58.34,55.455,57.01,740.2143,761.04,708.85,759.49,284.51,292.2,278.46,288.15,598.57,598.57,575.37,589.35,105.26,106.82,102.63,103.88,502,510.7,493.2605,506,3482.8,3497.96,3402.01,3462.52,453.83,456.59,443.83,446.42,286.72,287.19,275.92,276.34,953,965.665,929.767,941,23.737,23.964,22.335,22.3598,119.89,120.15,113.12,113.41,144.02,144.81,133.14,133.6,381.68,381.75,361.59,364.72,55.94,58.34,55.455,57.01,182.25999,199.42,181.5,195,181,181.7,167.39999,167.64999,74.959999,80.720001,74.400002,76.080002,0,0
2021-09-19T22:00:00Z,0.25497,0.25539,0.25254,0.25407,1754.03,1787.24,1737.99,1749.976,0.00909,0.009163,0.009026,0.009028,1.173,1.17557,1.16835,1.17204,1.37368,1.37507,1.36093,1.36663,434.88,444.89,428.86,443.91,143.8,147.4701,141.27,146.92,296.33,300.9,289.52,299.35,2763.23,2846.605,2726.435,2844.3,55.44,60.32,54.585,59.79,734.5577,774.8,718.6249,774.39,282.52,295.34,279.84,294.67,586.79,599.32,568.08,592.39,101.58,106.86,99.51,105.8,499,507.29,487,504.92,3396,3429.26,3305.01,3425.52,440.61,455.4,439.3,453.08,271.55,279.95,265.68,278.11,941,1013.667,907.673,982,22.396,23.141,22.044,22.39,111.3542,114.86,110.38,114.11,131.47,135.16,130.61,133.88,359.3,361.03,340.6901,352.96,55.44,60.32,54.585,59.79,192.12,196.5,183,184.02,165.60001,165.60001,155.75,160.45,75.099998,78.900002,72.519997,78.900002,0,0
2021-09-26T22:00:00Z,0.25434,0.25463,0.2495,0.25273,1750.18,1764.29,1721.71,1760.65,0.009028,0.009046,0.008923,0.009003,1.1726,1.17264,1.15625,1.15928,1.3665,1.37292,1.34116,1.35433,442.81,444.05,427.23,434.24,145.47,145.96,139.1101,142.65,296.14,296.47,281.29,289.1,2816.0853,2838.7699,2671.12,2730.86,60.48,61.655,59.38,60.76,773.12,799,763.59,775.22,294,295.29,279.79,284.06,587.95,619,576.93,613.15,105.065,108.44,99.81,102.45,499.7756,505.82,477.5,487.35,3371.5,3415.57,3255.94,3283.26,451.41,451.59,420.03,428.36,274.78,276.78,256.89,264.65,984.5,1001.959,948.371,973.5,22.382,22.843,21.429,22.506,113.612,114.67,110.31,112.92,132.43,134.04,126.47,128.71,349.805,355.15,338.15,343.01,60.48,61.655,59.38,60.76,185.39999,195.39999,177.2,189.53999,162,163.05,152.85001,156.10001,79.099998,82.339996,78.339996,81.32,0,0
2021-10-03T22:00:00Z,0.25273,0.25452,0.25004,0.25096,1759.5,1781.3,1746,1756.63,0.009002,0.009022,0.008906,0.00891,1.15928,1.16403,1.1529099999999999,1.1571,1.35587,1.3658,1.35317,1.36111,433,441.68,426.36,437.86,141.76,144.215,138.27,142.9,287.4,296.6409,280.25,294.85,2719.21,2806.6207,2621,2795.71,60.56,62.615,60.18,62.33,796.5,806.9699,773.22,785.49,282.87,285.4425,271.09,278.94,613.39,646.84,594.68,632.66,101.742,107.95,99.82,105.06,484.9304,499.9,472.78,492.85,3279.39,3325.746,3176.25,3288.62,426.43,436.705,414.935,429.72,261.8378,268.6933,251.59,260.06,972,1040.852,949.041,1027,22.5,23.187,22.2183,22.656,112.43,113.08,109.48,111.22,128.92,130.72,125.69,126.55,335.53,338.84,322.7,330.05,60.56,62.615,60.18,62.33,188.12,197.3,182.5,194.86,155.5,161.3,150.14999,153.75,81,84.400002,80.099998,84.220001,0,0
2021-10-10T22:00:00Z,0.25096,0.25417,0.25066,0.25348,1755.6,1800.5,1750.25,1766.453,0.00891,0.00892,0.008738,0.008749,1.1569099999999999,1.16244,1.15245,1.15949,1.36159,1.37732,1.35683,1.3744399999999999,437.16,446.26,431.54,445.87,142.27,144.895,139.2,144.84,292.92,304.45,292.35,304.21,2785.84,2834.36,2715.2,2827.36,62.78,63,58.6,60.23,787.65,843.21,785.5,843.03,276.65,291.88,275.105,291.19,633.195,639.42,621.99,628.29,104.62,112.835,104.022,112.12,491.24,505.86,479.55,503.25,3275,3410.42,3236.28,3409.02,427.79,446.48,424.54,443.92,257.93,269.7209,253.78,268.35,1024.5,1063.538,1006.5,1055,22.62,23.585,22.3553,23.261,112.89,113.56,109.41,111.45,126.055,130.4763,122.165,130.2,327.625,330.52,317.37,324.76,62.78,63,58.6,60.23,194.75999,212,188.02,188.12,155.60001,169.8,155.39999,168.2,84.720001,91.199997,83.540001,90.599998,0,0
2021-10-17T22:00:00Z,0.25348,0.25474,0.25222,0.25264,1766.5,1813.94,1760.4,1792.28,0.00875,0.008816,0.00872,0.00881,1.15912,1.16694,1.15718,1.16447,1.37484,1.38344,1.3709,1.37506,443.97,454.67,443.27,453.12,143.445,150.18,143.16,148.69,303.57,311.09,302.69,309.16,2821.53,2873.25,2721.12,2751.33,59.83,62.81,59.83,62.74,851.79,910,851.47,909.68,290.21,312.48,289.36,308.58,632.1,665.46,617.15,664.78,111.9,121.56,111.37,119.82,500.39,521.38,498.66,515.41,3388.3576,3462.86,3331.3,3335.55,444.01,453.135,435.89,450.49,266.39,273.51,239.75,240.4,1055,1077.675,1034.5,1040.5,23.28,24.821,23.021,24.3,111.44,115.1127,110.96,114.55,129.32,133.69,128.2404,131.62,328.95,343.98,321.11,324.61,59.83,62.81,59.83,62.74,188.8,197.58,175.75999,184.28,170.5,174.55,159.10001,162.14999,90.5,90.900002,85.860001,86.440002,0,0
